River,Area (km²),Relief (km),Temp (°C),Q (km³/yr),Q (m³/s),Runoff (m/yr),Qs (MT/yr),Yield (T/km²/yr),Glacier area (%),Lithology,1-TE,Erosion
Lockhart (Australia),"2,800.00",0.35,27.50,1.60,51.00,0.57,0.60,214.00,0.00,1.00,1.00,1.00
Loire (France),"115,000.00",1.40,8.40,26.80,851.00,0.23,1.50,13.00,0.00,1.00,1.00,0.30
Luan,"44,900.00",2.30,6.70,39.40,"1,250.00",0.88,24.00,534.00,0.00,2.00,1.00,2.00
Mackenzie,"1,794,920.00",3.98,-8.00,307.50,"9,750.00",0.17,99.40,55.00,4.00,2.00,1.00,1.00
Mae (USA),"1,200.00",1.30,13.20,1.30,41.00,1.08,2.20,"1,813.00",0.00,2.00,1.00,2.00
Mae Klong (Thailand),"32,914.00",1.87,25.00,12.90,410.00,0.39,8.10,245.00,0.00,0.50,1.00,1.00
Magdalena,"251,743.00",5.42,20.00,237.50,"7,530.00",0.94,219.80,873.00,0.00,1.50,1.00,2.00
Mahanadi (India),"142,207.00",1.14,27.00,66.60,"2,112.00",0.47,60.70,427.00,0.00,1.00,1.00,2.00
Manzanares (Venezuela),830.00,2.77,19.20,0.50,16.00,0.60,0.20,251.00,0.00,0.50,0.40,1.00
Mary (Australia),"9,600.00",1.20,23.40,2.30,73.00,0.24,0.90,92.00,0.00,0.50,1.00,1.00
Maticora (Venezuela),"2,500.00",2.77,19.40,2.00,63.00,0.80,5.40,"2,157.00",0.00,2.00,1.00,1.00
Mbam (Ghana),"42,000.00",0.77,18.60,22.60,718.00,0.54,3.60,86.00,0.00,0.50,1.00,1.00
Medjerda,"27,438.00",1.70,16.00,0.90,30.00,0.03,9.30,340.00,0.00,1.50,0.70,2.00
Mekong,"758,560.00",5.47,16.00,547.00,"17,345.00",0.72,97.40,128.00,0.00,1.00,0.75,1.00
Melet (Turkey),"1,000.00",2.00,8.40,0.40,13.00,0.40,0.30,268.00,0.00,1.00,1.00,1.00
Metauro (Italy),"1,400.00",1.50,14.00,0.30,11.00,0.25,0.90,608.00,0.00,2.00,0.70,1.00
Meuse,"43,336.00",0.63,9.00,10.70,339.00,0.25,0.70,16.00,0.00,2.00,1.00,0.30
Mezen,"75,665.00",0.44,-2.00,23.90,757.00,0.32,0.90,12.00,0.00,2.00,1.00,1.00
Min He (China),"61,000.00",1.50,20.30,62.10,"1,970.00",1.02,7.60,125.00,0.00,1.50,0.50,1.00
Minjiang,"66,246.00",2.07,16.00,57.70,"1,829.00",0.87,7.60,115.00,0.00,0.75,1.00,1.00
Mississippi,"3,202,959.00",4.40,6.00,487.30,"15,452.00",0.15,397.80,124.00,1.20,2.00,1.00,1.00
Mohaka (New Zealand),"2,400.00",1.38,9.60,2.50,79.00,1.04,1.40,578.00,0.00,2.00,1.00,1.00
Moose,"114,729.00",0.54,0.00,42.80,"1,356.00",0.37,0.40,3.00,0.00,0.75,0.80,1.00
Morondava (Madagascar),"4,200.00",1.41,21.00,1.50,47.00,0.35,6.70,"1,592.00",0.00,1.50,1.00,2.00
Motu (New Zealand),"1,400.00",1.11,14.00,2.80,88.00,1.98,3.50,"2,478.00",0.00,2.00,1.00,2.00
Muonio Alv (Sweden),"24,000.00",1.33,0.30,12.00,380.00,0.50,0.30,14.00,0.00,0.50,0.50,1.00
Murray-Darling,"1,031,512.00",1.21,18.00,22.20,705.00,0.02,3.00,3.00,0.00,0.50,1.00,1.00
Nadyım,"57,796.00",0.15,-6.00,18.00,570.00,0.31,0.40,7.00,0.00,2.00,1.00,1.00
Nagara,"2,000.00",1.10,13.90,3.60,114.00,1.80,0.40,205.00,0.00,1.50,0.50,1.00
Nakdong (Korea),"20,006.00",1.18,12.00,9.10,290.00,0.46,8.20,408.00,0.00,1.00,1.00,2.00
Narmada (India),"114,088.00",0.93,26.00,39.80,"1,261.00",0.35,69.60,610.00,0.00,1.50,1.00,2.00
Negro,"197,542.00",3.68,11.00,25.80,819.00,0.13,13.00,66.00,0.00,0.75,1.00,1.00
Neveri (Venezuela),980.00,2.50,22.00,0.90,28.00,0.90,0.30,290.00,0.00,0.50,0.50,1.00
Ngaruroro (New Zealand),"1,900.00",0.75,6.30,1.30,41.00,0.68,1.30,681.00,8.00,2.00,1.00,2.00
Niger,"1,240,019.00",2.10,28.00,193.30,"6,130.00",0.16,39.80,32.00,0.00,1.00,0.50,1.00
Nile,"2,026,122.00",3.78,25.00,109.90,"3,484.00",0.05,119.80,59.00,0.00,1.00,0.50,1.00
Normanby (Australia),"25,000.00",0.55,26.90,5.90,188.00,0.24,2.70,107.00,0.00,1.00,1.00,1.00
North,190.00,1.06,-10.00,0.10,4.00,0.66,0.10,664.00,30.00,2.00,1.00,1.00
Nottaway,"76,303.00",0.65,-1.00,35.60,"1,130.00",0.47,1.00,13.00,0.00,1.00,1.00,1.00
Ob,"3,025,923.00",4.08,0.00,387.90,"12,299.00",0.13,16.00,5.00,0.00,1.00,0.70,1.00
Oder (Germany),"118,146.00",1.42,8.00,15.90,504.00,0.13,0.30,3.00,0.00,2.00,0.30,0.30
Ogeechee (USA),"6,700.00",0.08,19.40,2.10,66.00,0.31,0.10,9.00,0.00,1.00,1.00,0.30
Olenek,"223,189.00",0.98,-14.00,31.80,"1,009.00",0.14,1.10,5.00,0.00,1.50,0.70,1.00
Omoloy,"31,684.00",1.22,-16.00,7.00,222.00,0.22,1.10,4.00,0.00,0.50,0.80,1.00
Onega,"57,683.00",0.28,2.00,15.90,504.00,0.28,0.20,4.00,0.00,2.00,1.00,1.00
Orange,"943,577.00",3.40,18.00,13.90,442.00,0.01,88.50,94.00,0.00,1.50,0.70,1.00
Ord,"94,706.00",0.82,27.00,19.90,630.00,0.21,5.10,54.00,0.00,0.75,1.00,1.00
Orinoco,"939,362.00",4.54,25.00,"1,088.00","34,500.00",1.16,173.20,184.00,0.00,1.00,0.70,1.00
Osumi (Albania),"2,000.00",2.40,15.00,1.60,51.00,0.80,5.70,"2,854.00",0.00,2.00,1.00,2.00
Pachang (Ba-Jhang ; Taiwan),441.00,2.20,20.00,0.70,23.00,1.64,3.20,"7,223.00",0.00,2.00,1.00,2.00
Pamanga (Philippines),830.00,2.00,25.90,1.50,47.00,1.79,1.00,"1,216.00",0.00,1.50,0.50,1.00
Pamlico (USA),"11,000.00",0.08,16.80,4.50,142.00,0.41,0.20,19.00,0.00,2.00,1.00,0.30
Parana,"2,604,048.00",5.40,17.00,457.50,"14,506.00",0.18,89.50,34.00,0.00,1.00,0.40,1.00
Pascoe (Australia),"4,300.00",0.35,27.50,4.20,132.00,0.97,1.20,279.00,0.00,1.00,1.00,1.00
Pearl (USA),"23,612.00",0.20,18.00,9.90,315.00,0.42,1.20,50.00,0.00,2.00,1.00,1.00
Pechora,"314,292.00",1.90,-11.00,129.30,"4,099.00",0.41,6.10,19.00,0.00,1.00,1.00,1.00
Peedee,"22,604.00",1.27,16.00,6.90,218.00,0.30,0.90,38.00,0.00,1.00,1.00,0.30
Peikang (Bei-Gang ; Taiwan),597.00,1.52,20.70,1.00,32.00,1.69,2.30,"3,830.00",0.00,1.50,1.00,2.00
Peinan (Bei-Nan ;Taiwan),"1,584.00",3.67,22.50,3.80,119.00,2.37,18.30,"11,547.00",0.00,1.50,1.00,2.00
Pescara (Italy),"3,100.00",2.71,14.50,0.90,29.00,0.30,1.90,610.00,0.00,2.00,0.70,1.00
Po,"72,183.00",4.80,11.50,48.10,"1,525.00",0.67,17.20,238.00,2.00,2.00,0.50,0.30
Porong (India),"12,000.00",3.70,23.70,29.80,946.00,2.49,19.90,"1,656.00",0.00,1.00,1.00,1.00
Potenza (Italy),770.00,1.60,13.00,0.30,10.00,0.40,0.40,573.00,0.00,1.50,0.70,1.00
Potomac,"38,419.00",1.36,11.00,9.90,315.00,0.26,1.40,36.00,0.00,1.50,0.50,0.30
Purari,"33,773.00",3.87,21.00,84.50,"2,681.00",2.50,79.50,"2,355.00",0.00,2.00,1.00,1.00
Pyasina,"164,446.00",1.05,-12.00,81.60,"2,586.00",0.50,3.40,21.00,0.00,2.00,1.00,1.00
Pyr/Pur (Russia),"110,158.00",0.27,-8.00,34.10,"1,080.00",0.31,0.70,6.00,0.00,2.00,1.00,1.00
Quiantang He (China),"41,500.00",1.60,20.30,30.80,977.00,0.74,4.10,99.00,0.00,1.00,0.50,1.00
Rakaia (New Zealand),"2,600.00",2.64,3.50,6.10,195.00,2.37,4.20,"1,601.00",10.00,2.00,1.00,2.00
Rangitaiki (New Zealand),"2,300.00",1.00,12.00,1.70,54.00,0.73,0.10,34.00,0.00,0.50,1.00,1.00
Rappahannock (USA),"4,100.00",0.29,13.70,2.10,66.00,0.51,0.50,112.00,0.00,1.00,1.00,0.30
Redwood Creek (USA),730.00,1.30,13.20,0.90,28.00,1.21,0.90,"1,279.00",0.00,2.00,1.00,1.00
Reno (Italy),"3,400.00",1.32,14.00,0.90,28.00,0.26,2.70,788.00,0.00,2.00,1.00,1.00
Rhine,"165,059.00",3.65,8.00,69.70,"2,210.00",0.42,2.00,12.00,3.00,2.00,0.20,0.30
Rhone,"99,298.00",4.81,9.00,53.70,"1,702.00",0.54,58.70,591.00,3.00,2.00,0.70,1.00
Rio Grande,"804,792.00",4.01,16.00,3.90,123.00,0.00,20.00,25.00,0.00,1.00,0.70,1.00
Rioni (Russia),"13,400.00",4.20,15.00,8.50,270.00,0.64,6.90,513.00,0.00,2.00,1.00,1.00
Roanoke,"34,756.00",1.14,15.00,7.40,236.00,0.21,2.00,57.00,0.00,1.50,1.00,0.30
Romaine,"13,586.00",0.94,-3.00,10.90,347.00,0.81,0.20,12.00,0.00,0.50,1.00,1.00
Rufiji,"186,759.00",2.90,22.00,34.80,"1,103.00",0.19,17.00,91.00,0.00,0.50,1.00,1.00
Russian (USA),"36,000.00",1.32,14.70,2.10,66.00,0.06,0.90,25.00,0.00,0.50,1.00,1.00
Saf Saf (Algeria),300.00,0.89,16.90,0.10,3.00,0.32,0.40,"1,261.00",0.00,1.50,1.00,2.00
Saguenay (Canada),"92,067.00",0.97,0.00,55.20,"1,750.00",0.60,0.40,4.00,0.00,0.50,1.00,1.00
Sakarya (Turkey),"55,300.00",2.24,7.00,3.60,113.00,0.06,3.80,68.00,0.00,1.50,1.00,1.00
